category,score
windmill,6
happiness,4
koala,6
rifle,6
snowman,7
string_bean,6
floor_lamp,6
bicep,6
coffee_cup,6
calendar,5
skyline,6
banana_peel,6
lipstick,6
toaster,6
lighthouse,6
violin,6
door,6
fireplace,6
camouflage,6
hourglass,6
newspaper,6
radio,6
black_cat,7
school_bus,6
scorpion,6
asparagus,6
skyscraper,6
light_bulb,6
log_cabin,6
flashlight,6
swing_set,6
bulldozer,6
ceiling_fan,6
hedgehog,6
hockey_stick,6
elephant,7
megaphone,6
microphone,6
kangaroo,7
airplane,6
short_monster,6
submarine,6
toothpaste,6
snowflake,6
sleeping_bag,6
chandelier,6
clarinet,6
rhinoceros,6
hospital,6
zigzag,6
ambulance,6
shorts,6
hurricane,6
lightning,7
mouse,6
broccoli,6
lighter,6
eraser,6
hangman_game,6
pineapple,6
basketball,6
piano,6
power_outlet,6
stairs,6
computer,6
paint_can,6
boomerang,6
dishwasher,6
keyboard,6
paper_clip,6
mouth_yelling,6
The_Mona_Lisa,8
soccer_ball,7
headband,6
picture_frame,6
lantern,6
house_boat,6
big_ben,7
traffic_light,6
spreadsheet,5
fire_hydrant,6
saxophone,6
watermelon,6
banana,6
animal_migration,6
flamingo,7
cooler,5
butterfly,7
teapot,6
flying_saucer,6
diamond,6
campfire,6
binoculars,6
passport,6
alarm_clock,6
stereo,6
tornado,7
cell_phone,6
rollerskates,6
icy,6
see_saw,6
drums,6
bathtub,6
the_great_wall_of_china,7
mushroom,6
backpack,6
curly_hair,6
wine_glass,6
popsicle,6
long_hair,6
house_plant,6
hot_tub,6
paintbrush,6
microwave,6
roller_coaster,7
screwdriver,6
galaxy,6
underwear,6
telephone,6
mouth,6
wine_bottle,6
french_fries,6
peas,6
postcard,6
hot_air_balloon,7
bottlecap,6
streetlight,6
strawberry,6
toothbrush,6
laptop,6
italy,6
grapes,6
baseball_bat,6
stop_sign,7
cruise_ship,6
parachute,6
frying_pan,6
octopus,6
aircraft_carrier,6
mailbox,6
mosquito,6
octagon,6
leafy_tree,6
igloo,6
calculator,6
flip_flops,6
sea_turtle,6
police_car,6
golf_club,6
umbrella,6
washing_machine,6
suitcase,6
hot_dog,6
skateboard,6
landscape,6
stethoscope,6
television,6
waterslide,6
sailboat,6
palm_tree,6
floppy_disk,6
dumbbell,6
corgi,6
fried_egg,6
remote_control,6
camera,6
firetruck,7
teddy_bear,7
pickup_truck,6
hockey_puck,6
motorbike,6
stitches,6
bowtie,6
apartment_building,6
envelope,6
wristwatch,6
avocado,6
helicopter,6
diving_board,6
The_Eiffel_Tower,7
lollipop,6
crayon,6
hexagon,6
mermaid,6
birthday_cake,6
eyeglasses,6
squiggle,6
ice_cream,6
triangle,6
hamburger,6
horse,7
marker,6
headphones,6
speedboat,6
smiley_face,8
matches,6
t_shirt,6
blackberry,6
